20,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
20,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2019"
20,"t","[Colonies which produced honey in more than one State were counted in each State]"
20,"h","","","","","","",""
20,"h","","Honey","Yield","","","Average","Value"
20,"h","State","producing","per","Production","Stocks","price per","of"
20,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
20,"h","","","","","","",""
20,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
20,"d","Alabama",7,42,294,44,3.20,941
20,"d","Arizona",23,46,1058,201,1.97,2084
20,"d","Arkansas",20,55,1100,176,1.53,1683
20,"d","California",335,48,16080,3216,1.56,25085
20,"d","Colorado",32,46,1472,500,2.14,3150
20,"d","Florida",205,45,9225,830,2.48,22878
20,"d","Georgia",102,33,3366,370,2.61,8785
20,"d","Hawaii",16,80,1280,51,1.28,1638
20,"d","Idaho",92,32,2944,677,1.67,4916
20,"d","Illinois",11,39,429,116,4.31,1849
20,"d","",,,,,,
20,"d","Indiana",9,55,495,198,3.95,1955
20,"d","Iowa",38,55,2090,1170,2.24,4682
20,"d","Kansas",7,79,553,171,2.95,1631
20,"d","Kentucky",6,41,246,44,4.50,1107
20,"d","Louisiana",54,72,3888,428,2.04,7932
20,"d","Maine",15,35,525,110,2.92,1533
20,"d","Michigan",94,50,4700,1363,2.36,11092
20,"d","Minnesota",118,59,6962,3063,1.63,11348
20,"d","Mississippi",22,80,1760,141,1.85,3256
20,"d","Missouri",10,43,430,73,3.32,1428
20,"d","",,,,,,
20,"d","Montana",173,86,14878,5802,1.48,22019
20,"d","Nebraska",39,52,2028,223,1.46,2961
20,"d","New Jersey",15,28,420,155,3.33,1399
20,"d","New York",59,58,3422,1027,4.49,15365
20,"d","North Carolina",14,42,588,118,4.06,2387
20,"d","North Dakota",520,65,33800,6422,1.40,47320
20,"d","Ohio",15,67,1005,442,3.42,3437
20,"d","Oregon",87,32,2784,1141,2.07,5763
20,"d","Pennsylvania",19,50,950,409,4.24,4028
20,"d","South Carolina",16,47,752,45,5.01,3768
20,"d","",,,,,,
20,"d","South Dakota",270,72,19440,7582,1.53,29743
20,"d","Tennessee",8,57,456,91,4.65,2120
20,"d","Texas",126,60,7560,1814,2.30,17388
20,"d","Utah",22,29,638,89,2.06,1314
20,"d","Vermont",6,48,288,84,4.34,1250
20,"d","Virginia",5,39,195,49,7.51,1464
20,"d","Washington",81,35,2835,1191,2.12,6010
20,"d","West Virginia",6,37,222,47,4.50,999
20,"d","Wisconsin",46,47,2162,692,2.99,6464
20,"d","Wyoming",39,56,2184,306,1.35,2948
20,"d","",,,,,,
20,"d","Other States 5/ 6/",30,47,1418,351,5.91,8380
20,"d","",,,,,,
20,"d","United States 6/ 7/",2812,55.8,156922,41022,1.97,309136
20,"c",""
20,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
20,"f","2/ Stocks held by producers."
20,"f","3/ Average price per pound based on expanded sales."
20,"f","4/ Value of production is equal to production multiplied by average price per pound."
20,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
20,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
20,"f","7/ United States value of production will not equal summation of States."
